,details,location
11,"Bryce Canyon National Park /bras/ is a National Park located in southwestern Utah in the United States. The major feature of the park is Bryce Canyon, which despite its name, is not a canyon, but a collection of giant natural amphitheaters along the eastern side of the Paunsaugunt Plateau. Bryce is distinctive due to geological structures called hoodoos, formed by frost weathering and stream erosion of the river and lake bed sedimentary rocks. The red, orange, and white colors of the rocks provide spectacular views for park visitors. Bryce sits at a much higher elevation than nearby Zion National Park. The rim at Bryce varies from 8,000 to 9,000 feet (2,400 to 2,700 m). The Bryce Canyon area was settled by Mormon pioneers in the 1850s and was named after Ebenezer Bryce, who homesteaded in the area in 1874. The area around Bryce Canyon became a National Monument in 1923 and was designated as a National Park in 1928. The park covers 35,835 acres (55.992 sq mi; 14,502 ha; 145.02 km2) and receives relatively few visitors compared to Zion National Park and the Grand Canyon, largely due to its remote location.",Bryce Canyon America
12,"Carlsbad Caverns National Park is a United States National Park in the Guadalupe Mountains of southeastern New Mexico. The primary attraction of the park is the show cave, Carlsbad Cavern. Carlsbad Caverns National Park is open every day of the year except Thanksgiving, Christmas, and New Year's Day. Visitors to the cave can hike in on their own via the natural entrance or take an elevator from the visitor center. The park entrance is located on US Highway 62/180, approximately 18 miles (29 km) southwest of Carlsbad, New Mexico. Carlsbad Caverns National Park participates in the Junior Ranger Program. The park has two entries on the National Register of Historic Places: The Caverns Historic District and the Rattlesnake Springs Historic District. Approximately two thirds of the park has been set aside as a wilderness area, helping to ensure no future changes will be made to the habitat. Carlsbad Cavern includes a large cave chamber, (The Big Room), a natural limestone chamber almost 4,000 feet (1,220 m) long, 625 feet (191 m) wide, and 255 feet (78 m) high at the highest point. It is the fifth largest chamber in North America and the twenty-eighth largest in the world.",Carlsbad Caverns America
13,"Denali National Park and Preserve is a national park and preserve located in Interior Alaska, centered on Denali, the highest mountain in North America. The park and contiguous preserve encompasses more than 6 million acres (24,500 km2), of which 4,724,735.16 acres (19,120 km2) are not federally owned by the national park. The national preserve is 1,334,200 acres (5,430 km2), of which 1,304,132 acres (5,278 km2) are federally owned. On December 2, 1980, a 2,146,580 acre (8,687 km2) Denali Wilderness was established within the park. Denali's landscape is a mix of forest at the lowest elevations, including deciduous taiga. The preserve is also home to tundra at middle elevations, and glaciers, rock, and snow at the highest elevations. The longest glacier is the Kahiltna Glacier. Today, 400,000 people visit the park annually. Wintertime activities includes dog-sledding, cross-country skiing, and snowmachining.",Denali National Park America
14,"Devils Tower (Lakota: Mat Thpila or Pteh , which means ""Bear Lodge"" and ""Brown Buffalo Horn"", respectively) is a laccolithic butte composed of igneous rock in the Bear Lodge Mountains (part of the Black Hills) near Hulett and Sundance in Crook County, northeastern Wyoming, above the Belle Fourche River. It rises dramatically 1,267 feet (386 m) above the Belle Fourche River, standing 867 feet (265 m) from summit to base. The summit is 5,112 feet (1,559 m) above sea level. Devils Tower was the first declared United States National Monument, established on September 24, 1906, by President Theodore Roosevelt. The Monument's boundary encloses an area of 1,347 acres (545 ha). In recent years, about 1% of the Monument's 400,000 annual visitors climbed Devils Tower, mostly using traditional climbing techniques.",Devils Tower America
15,"The Grand Canyon (Hopi: Ongtupqa; Yavapai: Wi:kai:la, Navajo: Tskooh Hatsoh, Spanish: Gran Can) is a steep-sided canyon carved by the Colorado River in the state of Arizona in the United States. It is contained within and managed by Grand Canyon National Park, the Kaibab National Forest, Grand Canyon-Parashant National Monument, the Hualapai Tribal Nation, the Havasupai people and the Navajo Nation. President Theodore Roosevelt was a major proponent of preservation of the Grand Canyon area, and visited it on numerous occasions to hunt and enjoy the scenery. The Grand Canyon is 277 miles (446 km) long, up to 18 miles (29 km) wide and attains a depth of over a mile (6,093 feet or 1,857 meters). Nearly two billion years of Earth's geological history have been exposed as the Colorado River and its tributaries cut their channels through layer after layer of rock while the Colorado Plateau was uplifted. While some aspects about the history of incision of the canyon are debated by geologists, several recent studies support the hypothesis that the Colorado River established its course through the area about 5 to 6 million years ago. Since that time, the Colorado River has driven the down-cutting of the tributaries and retreat of the cliffs, simultaneously deepening and widening the canyon. For thousands of years, the area has been continuously inhabited by Native Americans, who built settlements within the canyon and its many caves. The Pueblo people considered the Grand Canyon a holy site, and made pilgrimages to it. The first European known to have viewed the Grand Canyon was Garca Lpez de Crdenas from Spain, who arrived in 1540.",Grand Canyon America
16,"The Teton Range is a mountain range of the Rocky Mountains in North America. A north-south range, it is mostly on Wyoming's eastern side of the Idaho state line. It is south of Yellowstone National Park. Most of the east slope of the range is in Grand Teton National Park. Early French Voyageurs used the name les trois ttons (the three nipples). It is likely that the Shoshone people once called the whole range Teewinot, meaning ""many pinnacles"". The principal summits of the central massif, sometimes referred to as the Cathedral Group, are Grand Teton 13,775 feet (4,199 m), Mount Owen 12,928 feet (3,940 m), Teewinot 12,325 feet (3,757 m), Middle Teton 12,804 feet (3,903 m) and South Teton 12,514 feet (3,814 m). Other peaks in the range include Mount Moran 12,605 feet (3,842 m), Mount Wister 11,490 feet (3,500 m), Buck Mountain 11,938 feet (3,639 m) and Static Peak 11,303 feet (3,445 m).",Grand Tetons America
17,The Guggenheim Museums are a group of museums in different parts of the world established (or proposed to be established) by the Solomon R. Guggenheim Foundation. Museums in this group include:,Guggenheim Museum America
18,"Hawaii Volcanoes National Park, established in 1916, is a United States National Park located in the U.S. State of Hawaii on the island of Hawaii. It encompasses two active volcanoes: Klauea, one of the world's most active volcanoes, and Mauna Loa, the world's most massive shield volcano. The park delivers scientists insight into the birth of the Hawaiian Islands and ongoing studies into the processes of volcanism. For visitors, the park offers dramatic volcanic landscapes as well as glimpses of rare flora and fauna. In recognition of its outstanding natural values, Hawaii Volcanoes National Park was designated as an International Biosphere Reserve in 1980 and a World Heritage Site in 1987. In 2012 the Hawai'i Volcanoes National Park was honored on the 14th quarter of the America the Beautiful Quarters series.",Hawaii Volcanoes National Park America
19,"The John F. Kennedy Space Center (KSC) is one of ten National Aeronautics and Space Administration field centers, and is NASA's Center of Excellence for launch and payload processing systems. Located on the east coast of Florida, KSC is adjacent to Cape Canaveral Air Force Station (CCAFS). The management of the two entities work very closely together, share resources, and even own facilities on each other's property. KSC has been NASA's primary launch center of human spaceflight since December 1968. Launch operations for the Apollo, Skylab and Space Shuttle programs were carried out from Kennedy Space Center Launch Complex 39 and managed by KSC. Though the first Apollo flights, and all Project Mercury and Project Gemini flights took off from CCAFS, the launches were managed by KSC and its previous organization, the Launch Operations Directorate. Starting with the fourth Gemini mission, the NASA launch control center in Florida (Mercury Control Center, later the Launch Control Center) began handing off control of the vehicle to the Mission Control Center shortly after liftoff; prior missions held control throughout the entire mission. Additionally, the center manages launch of robotic and commercial crew missions, researches food production and In-Situ Resource Utilization for off Earth exploration, and more. Since 2010, the center has worked to become a multi-user spaceport through industry partnerships, even adding a new launch pad (LC-39C) in 2015. There are about 700 facilities grouped across the center's 144,000 acres. Among the unique facilities at KSC are the 525 ft tall Vehicle Assembly Building for stacking NASA's largest rockets, Operations and Checkout Building which houses the astronaut crew quarters, and 3-mile-long Shuttle Landing Facility. There is also a Visitor Complex open to the public on site.",Kennedy Space Center America
20,"The Las Vegas Strip is a stretch of Las Vegas Boulevard South in Clark County, Nevada, known for its concentration of resort hotels and casinos. The Strip is approximately 4.2 miles (6.8 km) in length, located immediately south of the Las Vegas city limits in the unincorporated towns of Paradise and Winchester. However, the Strip is often referred to as being in Las Vegas. Most of the Strip has been designated an All-American Road, and is considered a scenic route at night. Many of the largest hotel, casino, and resort properties in the world are located on the Las Vegas Strip. Fourteen of the world's 25 largest hotels by room count are on the Strip, with a total of over 62,000 rooms. One of the most visible aspects of Las Vegas' cityscape is its use of dramatic architecture and lights. The rapidly evolving skyline and constant modernization of hotels, casinos, restaurants, residential high-rises, and entertainment offerings on the Strip, have established it as one of the most popular destinations for tourists in the United States, and the world.",Las Vegas Strip at Night America
21,"Mammoth Cave National Park is a U.S. national park in central Kentucky, encompassing portions of Mammoth Cave, the longest cave system known in the world. The official name of the system is the Mammoth-Flint Ridge Cave System for the ridge under which the cave has formed. The park was established as a national park on July 1, 1941. It became a World Heritage Site on October 27, 1981, and an international Biosphere Reserve on September 26, 1990. The park's 52,830 acres (21,380 ha) are located primarily in Edmonson County, Kentucky, with small areas extending eastward into Hart County and Barren County. It is centered on the Green River, with a tributary, the Nolin River, feeding into the Green just inside the park. With 405 miles (652 km) of surveyed passageways Mammoth Cave is by far the world's longest known cave system, being over twice as long as the second-longest cave system, Mexico's Sac Actun underwater cave.",Mammoth Cave America
22,"Mesa Verde National Park is a National Park and World Heritage Site located in Montezuma County, Colorado. It protects some of the best preserved Ancestral Puebloan archaeological sites in the United States. Created by President Theodore Roosevelt in 1906, the park occupies 52,485 acres (21,240 ha) near the Four Corners region of the American Southwest. With more than 4,300 sites, including 600 cliff dwellings, it is the largest archaeological preserve in the U.S. Mesa Verde (Spanish for ""green table"") is best known for structures such as Cliff Palace, thought to be the largest cliff dwelling in North America. Starting c.7500 BCE, Mesa Verde was seasonally inhabited by a group of nomadic Paleo-Indians known as the Foothills Mountain Complex. The variety of projectile points found in the region indicates they were influenced by surrounding areas, including the Great Basin, the San Juan Basin, and the Rio Grande Valley. Later, Archaic people established semi-permanent rockshelters in and around the mesa. By 1000 BCE, the Basketmaker culture emerged from the local Archaic population, and by 750 CE the Ancestral Puebloans had developed from the Basketmaker culture. The Mesa Verdeans survived using a combination of hunting, gathering, and subsistence farming of crops such as corn, beans, and squash. They built the mesa's first pueblos sometime after 650, and by the end of the 12th century, they began to construct the massive cliff dwellings for which the park is best known. By 1285, following a period of social and environmental instability driven by a series of severe and prolonged droughts, they abandoned the area and moved south to locations in Arizona and New Mexico, including Rio Chama, Pajarito Plateau, and Santa Fe.",Mesa Verde America
23,"Meteor Crater is a meteorite impact crater approximately 37 miles (60 km) east of Flagstaff and 18 miles (29 km) west of Winslow in the northern Arizona desert of the United States. Because the United States Board on Geographic Names commonly recognizes names of natural features derived from the nearest post office, the feature acquired the name of ""Meteor Crater"" from the nearby post office named Meteor. The site was formerly known as the Canyon Diablo Crater and fragments of the meteorite are officially called the Canyon Diablo Meteorite. Scientists refer to the crater as Barringer Crater in honor of Daniel Barringer, who was first to suggest that it was produced by meteorite impact. The crater is privately owned by the Barringer family through their Barringer Crater Company, which proclaims it to be the ""best preserved meteorite crater on Earth"". Despite its importance as a geological site, the crater is not protected as a national monument, a status that would require federal ownership. It was designated a National Natural Landmark in November 1967. Meteor Crater lies at an elevation of about 1,740 m (5,710 ft) above sea level. It is about 1,200 m (3,900 ft) in diameter, some 170 m (560 ft) deep, and is surrounded by a rim that rises 45 m (148 ft) above the surrounding plains. The center of the crater is filled with 210240 m (690790 ft) of rubble lying above crater bedrock. One of the interesting features of the crater is its squared-off outline, believed to be caused by existing regional jointing (cracks) in the strata at the impact site.",Meteor Crater America
24,"The Metropolitan Museum of Art, colloquially ""the Met"", is located in New York City and is the largest art museum in the United States, and is among the most visited art museums in the world. Its permanent collection contains over two million works, divided among seventeen curatorial departments. The main building, on the eastern edge of Central Park along Manhattan's Museum Mile, is by area one of the world's largest art galleries. A much smaller second location, The Cloisters at Fort Tryon Park in Upper Manhattan, contains an extensive collection of art, architecture, and artifacts from Medieval Europe. The permanent collection consists of works of art from classical antiquity and ancient Egypt, paintings and sculptures from nearly all the European masters, and an extensive collection of American and modern art. The Met maintains extensive holdings of African, Asian, Oceanian, Byzantine, Indian, and Islamic art. The museum is home to encyclopedic collections of musical instruments, costumes and accessories, as well as antique weapons and armor from around the world. Several notable interiors, ranging from first-century Rome through modern American design, are installed in its galleries. The Metropolitan Museum of Art was founded in 1870. The founders included businessmen and financiers, as well as leading artists and thinkers of the day, who wanted to open a museum to bring art and art education to the American people. It opened on February 20, 1872, and was originally located at 681 Fifth Avenue.",Metropolitan Museum of Art America
25,"The Monterey Bay Aquarium (MBA) is a non-profit public aquarium located in Monterey, California, United States. The aquarium was founded in 1984 and is located on the site of a former sardine cannery on Cannery Row. It has an annual attendance of around two million visitors. It holds thousands of plants and animals, representing more than 600 species on display. The aquarium benefits from a high circulation of fresh ocean water which is obtained through pipes which pump it in continuously from Monterey Bay. The centerpiece of the Ocean's Edge Wing, is a 28-foot-high (8.5 m), 333,000-US-gallon (1,260,000 l; 277,000 imp gal) exhibit for viewing California coastal marine life. In this exhibit, the aquarium was the first in the world to grow live California Giant Kelp. Visitors are able to inspect the creatures of the kelp forest at several levels in the building. The largest exhibit in the aquarium is a 1,200,000-U.S.-gallon (4,500,000 l; 1,000,000 imp gal) the Open Sea exhibit (formerly the Outer Bay), which features one of the world's largest single-paned windows. It is one of the few aquariums to successfully care for the ocean sunfish in human care. Sea life on exhibit includes stingrays, jellyfish, sea otters, sea horses, and numerous other native marine species, which can be viewed above and below the waterline. The Monterey Bay Aquarium is one of very few in the world to exhibit both bluefin and yellowfin tuna. For displaying jellyfish, it uses a Kreisel tank, which creates a circular flow to support and suspend the jellies. The aquarium does not house mammals other than sea otters that were rescued through its Sea Otter Program.",Monterey Aquarium America
26,"Monument Valley (Navajo: Ts Bii Ndzisgaii, meaning valley of the rocks) is a region of the Colorado Plateau characterized by a cluster of vast sandstone buttes, the largest reaching 1,000 ft (300 m) above the valley floor. It is located on the ArizonaUtah border (around 3659N 1106W), near the Four Corners area. The valley lies within the range of the Navajo Nation Reservation and is accessible from U.S. Highway 163. Monument Valley has been featured in many forms of media since the 1930s. Director John Ford used the location for a number of his best-known films, and thus, in the words of critic Keith Phipps, ""its five square miles [13 square kilometers] have defined what decades of moviegoers think of when they imagine the American West.""",Monument Valley America
27,"Mount Rushmore National Memorial is a sculpture carved into the granite face of Mount Rushmore, a granite batholith formation in the Black Hills in Keystone, South Dakota, United States. Sculpted by Danish-American Gutzon Borglum and his son, Lincoln Borglum, Mount Rushmore features 60-foot (18 m) sculptures of the heads of four United States presidents: George Washington (17321799), Thomas Jefferson (17431826), Theodore Roosevelt (18581919), and Abraham Lincoln (18091865). The entire memorial covers 1,278.45 acres (2.00 sq mi; 5.17 km2) and is 5,725 feet (1,745 m) above sea level. South Dakota historian Doane Robinson is credited with conceiving the idea of carving the likenesses of famous people into the Black Hills region of South Dakota in order to promote tourism in the region. Robinson's initial idea was to sculpt the Needles; however, Gutzon Borglum rejected the Needles site because of the poor quality of the granite and strong opposition from Native American groups. They settled on the Mount Rushmore location, which also has the advantage of facing southeast for maximum sun exposure. Robinson wanted it to feature western heroes like Lewis and Clark, Red Cloud, and Buffalo Bill Cody, but Borglum decided the sculpture should have a more national focus and chose the four presidents whose likenesses would be carved into the mountain. After securing federal funding through the enthusiastic sponsorship of ""Mount Rushmore's great political patron"", U.S. Senator Peter Norbeck, construction on the memorial began in 1927, and the presidents' faces were completed between 1934 and 1939. Upon Gutzon Borglum's death in March 1941, his son Lincoln Borglum took over construction. Although the initial concept called for each president to be depicted from head to waist, lack of funding forced construction to end in late October 1941. Mount Rushmore has become an iconic symbol of the United States, and has appeared in works of fiction, and has been discussed or depicted in other popular works. It attracts over two million people annually.",Mt Rushmore America
28,"The Museum of Modern Art (MoMA) is an art museum located in Midtown Manhattan in New York City, on 53rd Street between Fifth and Sixth Avenues. MoMA has been important in developing and collecting modernist art, and is often identified as one of the largest and most influential museums of modern art in the world. MoMA's collection offers an overview of modern and contemporary art, including works of architecture and design, drawing, painting, sculpture, photography, prints, illustrated books and artist's books, film, and electronic media. The MoMA Library includes approximately 300,000 books and exhibition catalogs, over 1,000 periodical titles, and over 40,000 files of ephemera about individual artists and groups. The archives holds primary source material related to the history of modern and contemporary art.",Museum of Modern Art America
29,"The Kalalau Trail is a trail along N Pali Coast of the island of Kauai in the state of Hawaii. The strenuous trail runs approximately 11 miles (18 km) along the island's north shore from Kee Beach to the Kalalau Valley. Expert hikers can complete the roundtrip 22 mile trek as a day hike, but the average hiker requires a two-day minimum and will camp along the trail. Camping is only permitted at a forrested streamside campsite Hanakoa Valley (6 mile mark) and Kalalau Beach. The trail is located in N Pali Coast State Park and access is controlled for the purpose of conservation. A limited number of permits are issued for camping in Kalalau Valley every year. In spite of the efforts of the state of Hawaii, many people camp at Kalalau Beach without permits. The trail is notable for its remoteness, beauty, difficult terrain and dangers. Backpacker Magazine listed it as one the ""10 Most Dangerous Hikes"" in the US. Outside magazine rated it as one of ""The 20 Most Dangerous Hikes"" in the world.",Na Pali Coast America
30,"The National Gallery of Art, and its attached Sculpture Garden, is a national art museum in Washington, D.C., located on the National Mall, between 3rd and 9th Streets, at Constitution Avenue NW. Open to the public and free of charge, the museum was privately established in 1937 for the American people by a joint resolution of the United States Congress. Andrew W. Mellon donated a substantial art collection and funds for construction. The core collection includes major works of art donated by Paul Mellon, Ailsa Mellon Bruce, Lessing J. Rosenwald, Samuel Henry Kress, Rush Harrison Kress, Peter Arrell Brown Widener, Joseph E. Widener, and Chester Dale. The Gallery's collection of paintings, drawings, prints, photographs, sculpture, medals, and decorative arts traces the development of Western Art from the Middle Ages to the present, including the only painting by Leonardo da Vinci in the Americas and the largest mobile created by Alexander Calder. The Gallery's campus includes the original neoclassical West Building designed by John Russell Pope, which is linked underground to the modern East Building, designed by I. M. Pei, and the 6.1-acre (25,000 m2) Sculpture Garden. The Gallery often presents temporary special exhibitions spanning the world and the history of art. It is one of the largest museums in North America.",National Gallery of Arts America
31,"Skyline High School (also known as The Line or SHS) is a public high school in Oakland, California, United States. It is part of the Oakland Unified School District.  ",New York Skyline View America
32,"Niagara Falls (/nar/) is the collective name for three waterfalls that straddle the international border between Canada and the United States; more specifically, between the province of Ontario and the state of New York. They form the southern end of the Niagara Gorge. From largest to smallest, the three waterfalls are the Horseshoe Falls, the American Falls and the Bridal Veil Falls. The Horseshoe Falls lie mostly on the Canadian side and the American Falls entirely on the American side, separated by Goat Island. The smaller Bridal Veil Falls are also on the American side, separated from the other waterfalls by Luna Island. The international boundary line was originally drawn through Horseshoe Falls in 1819, but the boundary has long been in dispute due to natural erosion and construction. Located on the Niagara River, which drains Lake Erie into Lake Ontario, the combined falls form the highest flow rate of any waterfall in the world that has a vertical drop of more than 165 feet (50 m). Horseshoe Falls is the most powerful waterfall in North America, as measured by vertical height and flow rate. The falls are 17 miles (27 km) north-northwest of Buffalo, New York, and 75 miles (121 km) south-southeast of Toronto, between the twin cities of Niagara Falls, Ontario, and Niagara Falls, New York. Niagara Falls were formed when glaciers receded at the end of the Wisconsin glaciation (the last ice age), and water from the newly formed Great Lakes carved a path through the Niagara Escarpment en route to the Atlantic Ocean. While not exceptionally high, the Niagara Falls are very wide. More than six million cubic feet (168,000 m3) of water falls over the crest line every minute in high flow, and almost four million cubic feet (110,000 m3) on average. The Niagara Falls are renowned both for their beauty and as a valuable source of hydroelectric power. Balancing recreational, commercial, and industrial uses has been a challenge for the stewards of the falls since the 19th century.",Niagara Falls  [with Canada] America
